Chromosome,General_function,Representative_group,Numero_genes,Numero_SNPs
1,Biological process,oxidation-reduction process,218,900
1,Biological process,macromolecule depalmitoylation,114,474
1,Biological process,protein maturation by iron-sulfur cluster transfer,77,442
1,Biological process,RNA polyadenylation,44,262
1,Biological process,metabolism,57,259
1,Biological process,chromosome segregation,41,256
1,Biological process,transmembrane transport,49,245
1,Biological process,carbohydrate metabolism,73,229
1,Biological process,vacuolar transport,38,207
1,Biological process,phosphorylation,24,192
1,Biological process,RNA phosphodiester bond hydrolysis endonucleolytic,27,150
1,Biological process,methylation,29,145
1,Biological process,response to biotic stimulus,33,135
1,Biological process,xyloglucan metabolism,17,133
1,Biological process,amine metabolism,24,122
1,Biological process,response to heat,20,99
1,Biological process,protein ubiquitination,17,95
1,Biological process,cytokinin metabolism,26,91
1,Biological process,cation transport,16,90
1,Biological process,ion transmembrane transport,11,75
1,Biological process,ribosome biogenesis,14,72
1,Biological process,mannosylation,15,70
1,Biological process,protein folding,15,61
1,Biological process,hydrogen peroxide catabolism,16,59
1,Biological process,dephosphorylation,11,55
1,Biological process,meiotic cell cycle,17,48
1,Biological process,protein processing,15,47
1,Biological process,cellular modified amino acid biosynthesis,11,41
1,Biological process,biosynthesis,10,40
1,Biological process,positive regulation of GTPase activity,8,31
1,Biological process,ribosomal large subunit biogenesis,9,26
1,Biological process,mRNA splicing via spliceosome,6,23
1,Biological process,protein metabolism,5,22
1,Biological process,RNA methylation,5,22
1,Biological process,phosphatidylinositol dephosphorylation,3,19
1,Biological process,organic substance metabolism,7,18
1,Biological process,purine nucleotide biosynthetic process,2,18
1,Biological process,(1->3)-beta-D-glucan biosynthetic process,2,17
1,Biological process,nucleocytoplasmic transport,4,16
1,Biological process,multicellular organism development,7,15
1,Biological process,nitrogen compound metabolism,2,15
1,Biological process,phosphorelay signal transduction system,8,15
1,Biological process,photosynthesis,5,15
1,Biological process,protein stabilization,8,14
1,Biological process,GPI anchor biosynthetic process,4,13
1,Biological process,response to abscisic acid,2,13
1,Biological process,developmental process,5,12
1,Biological process,activation of protein kinase activity,4,11
1,Biological process,autophagy,5,11
1,Biological process,mitochondrial respiratory chain complex I assembly,4,11
1,Biological process,photosynthesis light reaction,5,11
1,Biological process,superoxide metabolism,2,9
1,Biological process,photosynthetic electron transport chain,3,8
1,Biological process,auxin-activated signaling pathway,3,7
1,Biological process,sexual reproduction,2,7
1,Biological process,cellulose catabolic process,1,5
1,Biological process,'de novo' CTP biosynthetic process,1,5
1,Biological process,polysaccharide catabolism,2,5
1,Biological process,lipid A biosynthetic process,3,4
1,Biological process,sucrose biosynthesis,1,4
1,Biological process,transcription DNA-templated,1,4
1,Biological process,xylan catabolic process,2,4
1,Biological process,attachment of GPI anchor to protein,1,3
1,Biological process,CDP-diacylglycerol biosynthetic process,1,3
1,Biological process,CTP biosynthetic process,1,3
1,Biological process,intracellular transport,1,3
1,Biological process,post-chaperonin tubulin folding pathway,1,3
1,Biological process,protein glycosylation,1,2
1,Biological process,regulation of cyclin-dependent protein serine/threonine kinase activity,1,2
1,Biological process,rRNA processing,1,2
1,Biological process,adenine salvage,1,1
1,Biological process,anion transmembrane transport,1,1
1,Biological process,Arp2/3 complex-mediated actin nucleation,1,1
1,Biological process,ATP hydrolysis coupled cation transmembrane transport,1,1
1,Biological process,cell adhesion,1,1
1,Biological process,cellulose biosynthetic process,1,1
1,Biological process,leaf senescence,1,1
1,Biological process,mRNA 3'-end processing,1,1
1,Biological process,root development,1,1
1,Biological process,rRNA methylation,1,1
1,Biological process,SRP-dependent cotranslational protein targeting to membrane,1,1
1,Cellular component,integral component of membrane,212,807
1,Cellular component,cis-Golgi network,113,702
1,Cellular component,membrane,57,201
1,Cellular component,cell wall,9,53
1,Cellular component,transcriptional repressor complex,9,31
1,Cellular component,endosome,8,20
1,Cellular component,endoplasmic reticulum membrane,3,16
1,Cellular component,extracellular region,5,14
1,Cellular component,intracellular,3,11
1,Cellular component,endoplasmic reticulum,3,10
1,Cellular component,extracellular matrix,5,10
1,Cellular component,extrinsic component of membrane,1,8
1,Cellular component,plasma membrane,1,4
1,Cellular component,clathrin adaptor complex,1,1
1,Cellular component,microtubule organizing center,1,1
1,Cellular component,photosystem II oxygen evolving complex,1,1
1,Molecular function,zinc ion binding,132,705
1,Molecular function,phosphate ion binding,31,391
1,Molecular function,nucleic acid binding,73,287
1,Molecular function,catalytic activity,29,203
1,Molecular function,phosphatidylinositol binding,17,201
1,Molecular function,protein-ribulosamine 3-kinase activity,29,201
1,Molecular function,palmitoyl hydrolase activity,36,179
1,Molecular function,transferase activity transferring acyl groups other than amino-acyl groups,21,116
1,Molecular function,microtubule minus-end binding,26,112
1,Molecular function,hydrolase activity,31,110
1,Molecular function,cytokinin dehydrogenase activity,12,65
1,Molecular function,clathrin binding,8,62
1,Molecular function,ligase activity,18,56
1,Molecular function,G-protein beta/gamma-subunit complex binding,2,55
1,Molecular function,transferase activity,15,54
1,Molecular function,chromatin binding,8,46
1,Molecular function,membrane insertase activity,9,43
1,Molecular function,GTPase activity,9,37
1,Molecular function,calcium ion binding,13,32
1,Molecular function,peptidase activity,9,32
1,Molecular function,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity,3,30
1,Molecular function,actin binding,1,29
1,Molecular function,DNA-directed 5'-3' RNA polymerase activity,4,28
1,Molecular function,ATP binding,4,27
1,Molecular function,protein phosphatase inhibitor activity,2,24
1,Molecular function,protein dimerization activity,7,18
1,Molecular function,ATP-dependent NAD(P)H-hydrate dehydratase activity,5,12
1,Molecular function,potassium ion binding,7,12
1,Molecular function,kinase activity,3,11
1,Molecular function,quinone binding,2,10
1,Molecular function,U1 snRNA binding,3,10
1,Molecular function,isomerase activity,2,9
1,Molecular function,oxidoreductase activity,5,9
1,Molecular function,dioxygenase activity,4,8
1,Molecular function,67-dimethyl-8-ribityllumazine synthase activity,3,7
1,Molecular function,transcription factor activity sequence-specific DNA binding,3,7
1,Molecular function,transporter activity,1,7
1,Molecular function,acyl-CoA hydrolase activity,2,6
1,Molecular function,serine-type endopeptidase activity,2,5
1,Molecular function,serine-type exopeptidase activity,1,5
1,Molecular function,galactose binding,1,4
1,Molecular function,lipid binding,3,3
1,Molecular function,nutrient reservoir activity,1,3
1,Molecular function,lyase activity,1,2
1,Molecular function,formate-tetrahydrofolate ligase activity,1,1
1,Not characterized,Not characterized,1816,9362
2,Biological process,phosphorylation,148,802
2,Biological process,protein maturation by iron-sulfur cluster transfer,125,747
2,Biological process,oxidation-reduction process,117,543
2,Biological process,GDP-mannose biosynthesis,134,503
2,Biological process,carbon fixation,98,351
2,Biological process,detection of visible light,21,216
2,Biological process,metabolism,46,208
2,Biological process,gravitropism,32,177
2,Biological process,vacuolar transport,36,175
2,Biological process,hydrogen peroxide catabolism,57,170
2,Biological process,transmembrane transport,44,160
2,Biological process,methylation,34,142
2,Biological process,carbohydrate metabolism,34,141
2,Biological process,positive regulation of circadian rhythm,23,113
2,Biological process,asymmetric cell division,23,107
2,Biological process,response to sucrose,23,90
2,Biological process,root development,12,59
2,Biological process,ER to Golgi vesicle-mediated transport,12,56
2,Biological process,ribosomal large subunit biogenesis,18,56
2,Biological process,microtubule severing,8,54
2,Biological process,karyogamy,17,53
2,Biological process,polyamine biosynthesis,5,39
2,Biological process,lipid metabolism,7,35
2,Biological process,biosynthesis,7,33
2,Biological process,protein geranylgeranylation,10,30
2,Biological process,protein processing,9,26
2,Biological process,fucose metabolism,7,23
2,Biological process,intracellular protein transport,4,23
2,Biological process,dephosphorylation,9,21
2,Biological process,spindle organization,1,21
2,Biological process,protein folding,6,20
2,Biological process,phospholipid translocation,3,19
2,Biological process,negative regulation of nucleic acid-templated transcription,1,18
2,Biological process,cellular metabolism,4,15
2,Biological process,multicellular organism development,1,15
2,Biological process,vesicle-mediated transport,5,15
2,Biological process,mRNA 3'-end processing,5,14
2,Biological process,protein metabolism,4,14
2,Biological process,(1->3)-beta-D-glucan biosynthetic process,1,13
2,Biological process,carbon utilization,3,13
2,Biological process,positive regulation of GTPase activity,5,11
2,Biological process,spindle assembly,1,11
2,Biological process,fucose metabolic process,2,10
2,Biological process,metal ion transport,7,9
2,Biological process,GPI anchor biosynthetic process,4,6
2,Biological process,negative regulation of catalytic activity,2,6
2,Biological process,developmental process,1,5
2,Biological process,nucleotide-excision repair,1,5
2,Biological process,actin filament depolymerization,1,4
2,Biological process,fatty acid biosynthetic process,1,4
2,Biological process,phototropism,1,4
2,Biological process,proton transmembrane transport,1,4
2,Biological process,rRNA processing,2,4
2,Biological process,sexual reproduction,2,4
2,Biological process,sulfate assimilation,1,4
2,Biological process,xylan biosynthetic process,1,4
2,Biological process,cell proliferation,2,3
2,Biological process,tRNA modification,2,3
2,Biological process,actin filament organization,1,2
2,Biological process,autophagy,2,2
2,Biological process,photosynthesis,2,2
2,Biological process,RNA catabolic process,1,2
2,Biological process,starch biosynthetic process,1,2
2,Biological process,cysteine biosynthetic process from serine,1,1
2,Biological process,nitrogen compound metabolism,1,1
2,Biological process,photorespiration,1,1
2,Biological process,mRNA splicing via spliceosome,2,0
2,Biological process,transcription DNA-templated,8,0
2,Cellular component,integral component of membrane,198,726
2,Cellular component,nuclear cap binding complex,101,484
2,Cellular component,membrane,62,215
2,Cellular component,amyloplast,23,73
2,Cellular component,intracellular,11,32
2,Cellular component,cell wall,9,23
2,Cellular component,mediator complex,2,15
2,Cellular component,Ino80 complex,2,14
2,Cellular component,photosystem I reaction center,3,14
2,Cellular component,extracellular region,2,9
2,Cellular component,endoplasmic reticulum membrane,1,4
2,Cellular component,extracellular space,1,3
2,Cellular component,anchored component of membrane,1,2
2,Cellular component,SAGA-type complex,1,2
2,Cellular component,apoplast,1,1
2,Cellular component,microtubule,1,1
2,Molecular function,cofactor binding,72,351
2,Molecular function,zinc ion binding,35,191
2,Molecular function,nucleic acid binding,31,188
2,Molecular function,potassium ion binding,31,149
2,Molecular function,methyltransferase activity,23,111
2,Molecular function,glutathione transferase activity,29,101
2,Molecular function,1-phosphatidylinositol binding,22,90
2,Molecular function,inositol heptakisphosphate kinase activity,16,79
2,Molecular function,serine-type endopeptidase activity,22,68
2,Molecular function,transferase activity,15,66
2,Molecular function,catalytic activity,17,60
2,Molecular function,calcium ion binding,21,59
2,Molecular function,ligase activity,16,43
2,Molecular function,4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity,12,38
2,Molecular function,drug transmembrane transporter activity,7,37
2,Molecular function,clathrin binding,10,36
2,Molecular function,phosphorelay sensor kinase activity,1,27
2,Molecular function,triphosphatase activity,13,26
2,Molecular function,kinase activity,5,25
2,Molecular function,cysteine-type endopeptidase inhibitor activity,4,24
2,Molecular function,polysaccharide binding,10,22
2,Molecular function,hydrolase activity,8,21
2,Molecular function,lipid binding,2,16
2,Molecular function,protein dimerization activity,3,10
2,Molecular function,oxidoreductase activity,4,9
2,Molecular function,acetate-CoA ligase activity,2,8
2,Molecular function,ATP binding,3,8
2,Molecular function,carboxypeptidase activity,1,8
2,Molecular function,glucose-6-phosphate 1-epimerase activity,4,8
2,Molecular function,protein serine/threonine kinase activity,2,7
2,Molecular function,chromatin binding,4,5
2,Molecular function,Rab GTPase binding,4,5
2,Molecular function,structural constituent of cell wall,1,5
2,Molecular function,cyclic-nucleotide phosphodiesterase activity,1,4
2,Molecular function,farnesyl-diphosphate farnesyltransferase activity,2,4
2,Molecular function,transporter activity,1,4
2,Molecular function,G-quadruplex RNA binding,1,3
2,Molecular function,monooxygenase activity,1,3
2,Molecular function,3-dehydroquinate synthase activity,1,2
2,Molecular function,coenzyme binding,1,2
2,Molecular function,single-stranded telomeric DNA binding,1,2
2,Molecular function,starch binding,1,2
2,Molecular function,aminopeptidase activity,1,1
2,Molecular function,antioxidant activity,1,1
2,Molecular function,lactoylglutathione lyase activity,1,1
2,Molecular function,lyase activity,1,1
2,Molecular function,strictosidine synthase activity,1,1
2,Molecular function,hydrolase activity acting on ester bonds,9,0
2,Molecular function,transcription factor activity sequence-specific DNA binding,1,0
2,Not characterized,Not characterized,1375,6830
3,Biological process,DNA damage checkpoint,2,707
3,Biological process,histidine biosynthetic process,1,574
3,Biological process,hydrogen peroxide catabolism,9,260
3,Biological process,microtubule cytoskeleton organization,5,242
3,Biological process,phosphorelay signal transduction system,6,216
3,Biological process,Group II intron splicing,1,212
3,Biological process,cell division,11,201
3,Biological process,mRNA splicing via spliceosome,6,156
3,Biological process,gluconeogenesis,2,153
3,Biological process,DNA recombination,2,111
3,Biological process,protein geranylgeranylation,17,107
3,Biological process,fumarate metabolic process,1,106
3,Biological process,acetyl-CoA biosynthetic process from pyruvate,1,103
3,Biological process,DNA repair,2,90
3,Biological process,(1->3)-beta-D-glucan biosynthetic process,1,74
3,Biological process,sucrose metabolic process,3,69
3,Biological process,GPI anchor biosynthetic process,2,68
3,Biological process,protein peptidyl-prolyl isomerization,5,66
3,Biological process,isocitrate metabolic process,1,61
3,Biological process,mRNA polyadenylation,2,59
3,Biological process,mismatch repair,2,58
3,Biological process,cell wall modification,23,57
3,Biological process,fatty acid metabolic process,2,48
3,Biological process,carbohydrate metabolic process,57,47
3,Biological process,fructose 6-phosphate metabolism,5,47
3,Biological process,tRNA aminoacylation for protein translation,3,47
3,Biological process,cytoplasmic translational initiation,1,46
3,Biological process,DNA replication,5,45
3,Biological process,magnesium ion transmembrane transport,16,42
3,Biological process,nucleotide-excision repair,1,41
3,Biological process,rRNA processing,2,40
3,Biological process,DNA topological change,3,34
3,Biological process,glycolytic process,1,34
3,Biological process,glyoxylate cycle,1,34
3,Biological process,translation,26,34
3,Biological process,base-excision repair,4,33
3,Biological process,transcription elongation from RNA polymerase II promoter,5,33
3,Biological process,protein glycosylation,10,32
3,Biological process,RNA-dependent DNA biosynthetic process,3,32
3,Biological process,regulation of transcription DNA-templated,109,31
3,Biological process,protein phosphorylation,10,30
3,Biological process,defense response,9,29
3,Biological process,RNA processing,5,29
3,Biological process,N-terminal protein myristoylation,1,28
3,Biological process,chromatin organization,3,27
3,Biological process,transcription by RNA polymerase III,1,27
3,Biological process,regulation of transcription by RNA polymerase II,7,26
3,Biological process,mRNA processing,1,25
3,Biological process,positive regulation of TOR signaling,2,25
3,Biological process,translational initiation,9,25
3,Biological process,glutathione metabolism,3,24
3,Biological process,cellular amino acid metabolic process,1,23
3,Biological process,chromatin remodeling,2,23
3,Biological process,tRNA splicing via endonucleolytic cleavage and ligation,1,23
3,Biological process,ubiquitin-dependent protein catabolism,10,23
3,Biological process,L-phenylalanine catabolic process,1,22
3,Biological process,cell surface receptor signaling pathway,1,21
3,Biological process,DNA duplex unwinding,10,21
3,Biological process,fatty acid biosynthetic process,1,20
3,Biological process,glutamate metabolic process,2,20
3,Biological process,response to ionizing radiation,18,20
3,Biological process,transcription DNA-templated,5,20
